"Extracted from the UNHCR Population Statistics Reference Database, United Nations High Commissioner for Refugees.",,,,,,,,,,,,,,,,
Date extracted: 2015-02-10 23:13 +00:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Time Series – Persons of concern to UNHCR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country / territory of residence,Origin / Returned from,Population type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,China,Asylum seekers,,,,,1,1,2,1,,,,,,
Albania,Czech Republic,Refugees,,,,,,,,2,2,2,2,2,,
Albania,Czech Republic,Asylum seekers,,,,,,,,2,2,,,,,
Albania,Democratic Republic of the Congo,Refugees,,,,,,,,,,,,,,5
Albania,Democratic Republic of the Congo,Asylum seekers,,,,,,,,,,,,,5,
Albania,Egypt,Refugees,,,,,,,,1,1,1,3,3,2,*
Albania,Egypt,Asylum seekers,,,,,,,1,,,,,,,
Albania,Federal Republic of Yugoslavia,Refugees,507,278,6,,,,,,,,,,,
Albania,Federal Republic of Yugoslavia,Asylum seekers,4,4,30,,,,,,,,,,,
Albania,India,Asylum seekers,,,,,,4,,,,,,,,
Albania,Iraq,Refugees,9,7,3,7,9,7,4,5,5,5,5,5,5,5
Albania,Iraq,Asylum seekers,,,3,,,,,,,,2,,,
Albania,Islamic Republic of Iran,Refugees,,1,,1,1,1,,,,,1,,,
Albania,Islamic Republic of Iran,Asylum seekers,,,,1,,,,,,1,,,,196
Albania,Liberia,Refugees,,,,,,,,,,,,1,,
Albania,Liberia,Asylum seekers,,,,,,2,2,,,,,,,
Albania,Libyan Arab Jamahiriya,Refugees,,,,,,,,,,,1,,,
Albania,Mauritania,Asylum seekers,,,1,,,,,,,,,,,
Albania,Montenegro,Refugees,,,,,,,,,,1,1,2,2,*
Albania,Morocco,Asylum seekers,,,2,1,1,1,1,1,,,,,,
Albania,Nepal,Refugees,,,,,,1,,,,,,,,
Albania,Nepal,Asylum seekers,,,,,1,,,,,,,,,
Albania,Nigeria,Refugees,,,,,,,,2,,,,,,
Albania,Nigeria,Asylum seekers,,,,,,,,1,,,,,,
Albania,Occupied Palestinian Territory,Refugees,,,,,,1,1,2,2,3,3,3,,
Albania,Palestinian,Refugees,,,,,,,,,,,,,4,*
Albania,Peru,Refugees,,,,,,,,,,,,,,*
Albania,Peru,Returned refugees,1,,,,,,,,,,,,,
Albania,Republic of Moldova,Refugees,,,1,1,1,,,,,,,,,
Albania,Republic of Moldova,Asylum seekers,,1,1,1,,,,,,,,,,
Albania,Romania,Asylum seekers,,,1,2,,,,,,,,,,
Albania,Serbia (and Kosovo: S/RES/1244 (1999)),Refugees,,,,,,,40,51,47,48,49,50,54,54
Albania,Serbia (and Kosovo: S/RES/1244 (1999)),Asylum seekers,,,,,,,19,16,20,19,20,21,18,17
Albania,Serbia (and Kosovo: S/RES/1244 (1999)),Returned refugees,,,,,,,1,,,,,,,
Albania,Serbia and Montenegro,Refugees,,,,10,33,40,,,,,,,,
Albania,Serbia and Montenegro,Asylum seekers,,,,76,23,22,,,,,,,,
Albania,Somalia,Asylum seekers,,,,,,,,,,,,3,,
Albania,Stateless,Stateless,,,,,,,,,,,,,7443,7443
Albania,Sudan,Refugees,2,,,,,,,,,,,,,
Albania,Syrian Arab Republic,Asylum seekers,,,,,,,,,,,,,3,15
Albania,The former Yugoslav Republic of Macedonia,Refugees,,6,,,,,,,,,,,,
Albania,The former Yugoslav Republic of Macedonia,Asylum seekers,,29,2,10,7,5,8,,,,1,,,
Albania,Tunisia,Refugees,,,,,,,,,,,1,1,2,
Albania,Tunisia,Asylum seekers,,,,,2,,,,,,,,,
Albania,Turkey,Refugees,5,,7,7,7,6,6,7,2,3,3,3,3,*
Albania,Turkey,Asylum seekers,,37,11,1,1,,,,,,,,1,
Albania,United Kingdom,Returned refugees,,,,,,,9,2,,,,,,
Albania,Uzbekistan,Refugees,,,,,,,,1,1,1,1,2,3,*
Albania,Uzbekistan,Asylum seekers,,,,,,,1,,,,,,,
Algeria,Afghanistan,Refugees,,,,,,,,,,,,,2,*
Algeria,Afghanistan,Asylum seekers,,,,,,,,,,,,5,,
Algeria,Albania,Returned refugees,,,,,,,,,,1,,,,*
Algeria,Angola,Refugees,,,,,,,,,,3,4,4,4,*
Algeria,Angola,Asylum seekers,,,,,,1,1,1,,,,,,
Algeria,Argentina,Returned refugees,,,,,,1,,,,,,,,
Algeria,Benin,Asylum seekers,,,,,,,2,2,1,,3,5,17,*
Algeria,Bosnia and Herzegovina,Returned refugees,2,,,,,,,,,,,,,
Algeria,Burkina Faso,Asylum seekers,,,,,,,,,,,,1,3,*
Algeria,Burundi,Refugees,1,2,,1,1,1,1,1,,1,1,1,1,*
Algeria,Burundi,Asylum seekers,,-1,,,,,,,,,,,4,5
Algeria,Cameroon,Refugees,5,8,6,5,5,7,9,10,3,6,6,7,6,10
Algeria,Cameroon,Asylum seekers,,-3,2,,1,8,138,315,207,20,92,301,681,59
Algeria,Central African Republic,Refugees,,,,,,,,,1,1,,,1,*
Algeria,Central African Republic,Asylum seekers,,,,,,1,9,24,7,,1,6,4,*
Algeria,Chad,Refugees,20,6,,,,,,,,1,2,2,2,*
Algeria,Chad,Asylum seekers,19,3,,,,12,35,93,64,1,10,28,21,5
Algeria,Congo,Refugees,30,20,,,4,4,4,5,4,6,6,7,7,7
Algeria,Congo,Asylum seekers,29,27,,,,6,19,15,13,3,4,6,4,
Algeria,Côte d'Ivoire,Refugees,,,,1,3,8,23,16,5,17,20,17,23,30
Algeria,Côte d'Ivoire,Asylum seekers,,,,,2,33,329,454,221,13,45,207,282,85
Algeria,Democratic Republic of the Congo,Refugees,202,103,1,1,5,34,90,39,64,73,66,61,39,43
Algeria,Democratic Republic of the Congo,Asylum seekers,159,58,,,,183,286,291,143,16,26,28,66,34
Algeria,Egypt,Returned refugees,,,,,,,,1,,,,,,
Algeria,Eritrea,Refugees,,,,,,,1,,,,,,,*
Algeria,Eritrea,Asylum seekers,,,,,,,,,1,,,,1,
Algeria,Ethiopia,Refugees,,,,,,,,,,1,,,,
Algeria,Ethiopia,Asylum seekers,,,,,,,,,1,,,,1,*
Algeria,Gabon,Asylum seekers,,,,,,,,,,,2,1,2,
Algeria,Guinea,Refugees,35,9,,,,,,,,,2,2,4,*
Algeria,Guinea,Asylum seekers,35,8,,,,,1,10,3,3,18,10,62,*
Algeria,Guinea,Returned refugees,,,,,1,,,,,,,,,
Algeria,Guinea-Bissau,Asylum seekers,,,,,,,2,2,,,1,,1,
Algeria,Iraq,Refugees,5,9,6,6,6,4,4,7,1,3,15,15,15,15
Algeria,Iraq,Asylum seekers,1,-2,2,,,1,5,31,8,6,4,4,6,5
Algeria,Lebanon,Returned refugees,,1,,,,,,,,,,,,
Algeria,Liberia,Refugees,13,7,,,6,24,28,39,5,7,4,4,2,*
Algeria,Liberia,Asylum seekers,,-9,,,1,52,77,230,155,42,21,13,16,*
Algeria,Libya,Refugees,,,,,,,,,,,,6,,
Algeria,Libya,Asylum seekers,,,,,,,,,,,,17,44,25
Algeria,Libyan Arab Jamahiriya,Refugees,6,12,6,6,6,6,6,6,1,6,6,,,
Algeria,Libyan Arab Jamahiriya,Asylum seekers,,-6,1,1,1,3,,,,,,,,
Algeria,Mali,Refugees,100,100,100,,,,,,,,,,,
Algeria,Mali,Asylum seekers,,,,,,,4,5,5,,,1,50,287
Algeria,Mauritania,Refugees,,,,,,,,,,,,,,*
Algeria,Mauritania,Asylum seekers,,,,,,,,,,,,,1,
Algeria,Morocco,Refugees,5,5,,,,,,,,,,,,
Algeria,Morocco,Asylum seekers,5,5,,,,1,7,7,2,,,1,,*
Algeria,Morocco,Returned refugees,,1,,,,,,,,,,,,
Algeria,Niger,Refugees,,,100,,,,,,,,,,,
Algeria,Niger,Asylum seekers,,,,,,,1,66,1,,4,9,22,*
Algeria,Nigeria,Refugees,100,100,,,,,,,,,,,,*
Algeria,Nigeria,Asylum seekers,,,,,,1,7,8,40,41,36,94,118,17
Algeria,Occupied Palestinian Territory,Refugees,4000,4005,4005,4005,4005,4005,4005,4005,4005,4006,4007,4017,,
Algeria,Occupied Palestinian Territory,Asylum seekers,,,,,,2,4,6,5,2,11,20,,
Algeria,Pakistan,Returned refugees,,,,14,,,,,,,,,7,
Algeria,Palestinian,Refugees,,,,,,,,,,,,,4020,4017
Algeria,Palestinian,Asylum seekers,,,,,,,,,,,,,46,177
Algeria,Russian Federation,Refugees,1,2,1,1,,,,,,,,,,
Algeria,Russian Federation,Asylum seekers,,-1,,,,,,,,,,,,
Algeria,Rwanda,Refugees,19,10,,,,,,,,,,,,
Algeria,Rwanda,Asylum seekers,20,-1,,,,,1,6,2,,1,1,2,
Algeria,Rwanda,Returned refugees,1,,,,,,,,,,,,,
Algeria,Senegal,Asylum seekers,,,,,,,,2,3,1,,,1,
Algeria,Sierra Leone,Refugees,30,7,,,,1,1,1,,,,,,
Algeria,Sierra Leone,Asylum seekers,30,7,,,,2,6,10,6,4,2,1,1,
Algeria,Somalia,Refugees,14,8,4,4,4,4,4,4,4,5,3,4,4,*
Algeria,Somalia,Asylum seekers,12,-2,,,,,,,,,1,,,
Algeria,South Africa,Asylum seekers,,,,,,,,,3,,,,,
Algeria,Spain,Refugees,1,1,,,,,,,,,,,,
Algeria,Spain,Asylum seekers,,-1,,,,,,,,,,,,
Algeria,Sudan,Refugees,6,,,,,,,,,,,,,
Algeria,Sudan,Asylum seekers,,-5,,,,,,4,4,,20,51,33,20
Algeria,Syrian Arab Republic,Refugees,4,8,4,3,3,3,3,3,,,,,,
Algeria,Syrian Arab Republic,Asylum seekers,,-4,,1,1,,,1,,,,4,236,1080
Algeria,Togo,Refugees,,,,,,,1,1,,1,2,1,3,*
Algeria,Togo,Asylum seekers,,,,,,,7,11,3,1,,,3,*
Algeria,Tunisia,Asylum seekers,,,,,,,,1,,,2,2,2,*
Algeria,Tunisia,Returned refugees,,,,,,,,,,,3,,,
Algeria,Uganda,Asylum seekers,,,,,,,,2,,,,,,
Algeria,Western Sahara,Refugees,165000,165000,165000,165000,165000,90000,90000,90000,90000,90000,90000,90000,90000,90000
Algeria,Yemen,Refugees,,,,,,,,,,,,,,*
Algeria,Yemen,Asylum seekers,,,,,,,,,,,,,6,*
Algeria,Various,Refugees,59,,,,,,,,,,,,,
Angola,Algeria,Refugees,1,1,1,1,1,1,1,1,1,1,1,1,1,*
Angola,Algeria,Asylum seekers,,,,,,,,,,,,,,*
Angola,Angola,Internally displaced,257508,202000,188728,,,,,,,,,,,
Angola,Angola,Returned IDPs,,,13272,,,,,,,,,,,
Angola,Angola,Others of concern,,,,,,,,,,14479,,,,
Angola,Botswana,Returned refugees,,,,,62,538,,,,2,4,29,68,429
Angola,Brazil,Returned refugees,,,,1,,,1,,,,1,,,
Angola,Burkina Faso,Asylum seekers,,,,,,,,,,1,1,1,1,
Angola,Burundi,Refugees,6,18,18,10,12,10,10,10,10,11,14,18,18,18
Angola,Burundi,Asylum seekers,2,3,4,4,2,2,3,3,3,13,13,9,45,44
Angola,Cameroon,Asylum seekers,1,1,1,1,1,1,1,1,1,1,1,1,1,
Angola,Cameroon,Returned refugees,,,,,,,,1,,,,,,
Angola,Cape Verde,Returned refugees,,,,,,1,,,,,,,,
Angola,Central African Republic,Refugees,,,,6,6,6,1,1,1,5,6,13,13,13
Angola,Central African Republic,Asylum seekers,,,1,,,,,,,1,1,1,1,33
Angola,Central African Republic,Returned refugees,2,,,1,,,46,,,,,,,
Angola,Chad,Refugees,22,28,29,62,62,62,43,43,54,132,148,191,191,195
Angola,Chad,Asylum seekers,9,11,9,10,10,10,10,10,33,77,61,,589,295
Angola,Comoros,Asylum seekers,3,3,3,3,,,,,,,,,,
Angola,Congo,Refugees,40,51,53,35,45,46,46,46,48,43,45,65,65,65
Angola,Congo,Asylum seekers,235,227,228,232,221,220,222,222,222,163,163,138,138,75
Angola,Congo,Returned refugees,1263,2360,6,3350,751,657,519,2307,,,,,190,
Angola,Côte d'Ivoire,Refugees,,,,2,20,52,99,114,150,187,211,407,407,407
Angola,Côte d'Ivoire,Asylum seekers,,,,47,46,24,532,1549,1520,1234,1213,975,4717,4183
Angola,Cuba,Refugees,,2,,,,,2,2,2,2,2,2,2,*
Angola,Democratic Republic of the Congo,Refugees,11821,11933,11930,13015,13510,13464,12615,11380,11900,13364,13648,13648,20740,21104
Angola,Democratic Republic of the Congo,Asylum seekers,595,636,626,619,601,594,584,584,787,1524,1508,1528,1877,2300
Angola,Democratic Republic of the Congo,Returned refugees,7175,10655,32663,76668,34085,20072,24438,7252,12770,2,,1538,15573,
Angola,Djibouti,Asylum seekers,,,,,,,,,,1,1,1,1,
Angola,Eritrea,Refugees,,,,,,1,4,4,4,5,6,6,6,5
Angola,Eritrea,Asylum seekers,,,,,,,42,119,138,43,43,37,977,1270
Angola,Ethiopia,Refugees,,,,1,,,,,,,,,,
Angola,Ethiopia,Asylum seekers,,,,2,2,2,,,,12,6,6,35,77
